,gender,age,sign
3493680,female,26,Pisces
3601337,female,24,Cancer
3976495,male,27,Pisces
3374786,male,13,Aquarius
3664499,female,25,Capricorn
3422875,female,42,Aquarius
669514,female,27,Sagittarius
3403305,male,14,Aquarius
4075808,female,35,Virgo
3925426,male,27,Capricorn
3332710,male,24,Leo
3293221,female,26,Cancer
3185684,female,17,Leo
2685566,female,25,Pisces
3865378,male,15,Sagittarius
3065493,male,13,Leo
3956774,male,17,Capricorn
3366901,female,24,Leo
4068174,female,13,Aries
902615,female,25,Aquarius
4235382,female,24,Cancer
3917241,male,26,Gemini
1976124,male,25,Libra
3569476,female,17,Virgo
3966121,female,13,Virgo
2347388,male,26,Pisces
1940587,male,16,Cancer
3978326,female,17,Capricorn
468786,male,45,Aries
3447237,female,24,Leo
3697234,female,16,Pisces
3816004,male,17,Libra
480727,male,23,Pisces
3834464,female,16,Taurus
3772806,male,16,Sagittarius
3432204,female,25,Virgo
3391038,male,35,Taurus
4031474,female,14,Virgo
3958564,female,15,Sagittarius
3416873,female,26,Aries
3767876,female,24,Pisces
3356604,female,16,Aries
3327978,female,15,Aries
3750303,female,24,Pisces
1868600,male,27,Cancer
4042358,male,17,Gemini
3940427,female,16,Capricorn
4188065,female,23,Gemini
3955566,female,23,Aries
3868923,male,24,Cancer
1656799,male,14,Libra
3543714,male,24,Libra
3509891,male,46,Gemini
4250809,female,46,Cancer
3311424,male,33,Scorpio
3917183,female,13,Sagittarius
3981404,male,23,Scorpio
3435192,female,45,Scorpio
3741655,female,25,Gemini
3943507,male,23,Aries
559292,female,25,Taurus
727002,male,23,Leo
4036173,female,24,Sagittarius
3338803,female,44,Sagittarius
3502919,male,17,Cancer
3553171,male,23,Cancer
4337133,female,13,Virgo
3898365,male,16,Sagittarius
4135669,male,15,Capricorn
4267504,female,14,Sagittarius
3696093,female,15,Taurus
3715086,male,26,Gemini
72355,male,27,Leo
3572043,male,17,Leo
4092416,male,35,Scorpio
3392349,male,16,Cancer
3463001,male,41,Leo
3901486,male,23,Scorpio
3467500,female,25,Cancer
3699726,female,14,Aries
1818292,female,26,Aquarius
3565664,female,35,Libra
2944237,male,33,Gemini
3568679,female,25,Capricorn
2679438,female,23,Aries
3909146,female,23,Aries
3380200,male,34,Sagittarius
4043574,male,14,Virgo
1223044,male,16,Sagittarius
2836391,male,27,Sagittarius
4031972,male,24,Aries
4166439,female,25,Sagittarius
3937692,female,26,Virgo
4174047,male,27,Taurus
3364922,female,16,Capricorn
3471441,male,26,Aries
4177478,male,14,Leo
3178134,female,14,Capricorn
3816655,female,25,Libra
4062411,male,25,Gemini
3601200,male,23,Cancer
3952922,male,16,Sagittarius
3791568,female,24,Aries
3635772,male,23,Aries
1915813,male,27,Sagittarius
4109882,female,17,Sagittarius
3790477,male,23,Aries
3682806,male,23,Libra
1862614,female,33,Sagittarius
3522700,female,16,Libra
1091912,female,14,Leo
1822234,female,33,Pisces
2834611,female,24,Cancer
2871483,male,16,Capricorn
3548969,male,35,Cancer
3208383,male,17,Leo
3868823,female,27,Leo
4226887,female,15,Pisces
3970082,female,26,Gemini
3887111,female,13,Libra
4141327,female,15,Capricorn
3618432,female,25,Cancer
3636290,female,46,Scorpio
3826969,male,23,Scorpio
1579923,male,15,Virgo
3667423,male,27,Virgo
4093559,male,17,Virgo
1695144,male,24,Sagittarius
3804319,female,17,Aries
3721279,male,24,Sagittarius
2055017,male,24,Sagittarius
3590334,male,27,Virgo
3771404,male,35,Pisces
3108436,male,16,Scorpio
3075330,male,37,Pisces
3334323,female,46,Leo
3620187,male,16,Libra
3040727,male,27,Taurus
3222762,female,14,Leo
2987602,female,15,Virgo
3956807,female,26,Taurus
4285409,female,13,Scorpio
4019156,male,17,Cancer
4255047,male,15,Sagittarius
3599048,male,16,Leo
3820382,female,15,Virgo
3948808,female,34,Cancer
4026439,male,17,Scorpio
3758539,female,23,Taurus
3871486,female,23,Capricorn
3554852,male,16,Gemini
3723457,female,24,Sagittarius
4131648,female,23,Aquarius
4227371,female,24,Libra
3951680,female,14,Gemini
3471740,female,27,Capricorn
3870212,male,27,Taurus
3601602,female,16,Aquarius
4007735,male,17,Capricorn
4173071,female,16,Capricorn
4171251,male,14,Capricorn
3483574,male,39,Aquarius
3592235,male,15,Taurus
3858875,female,25,Libra
3321827,male,38,Sagittarius
3750470,male,25,Capricorn
4278196,female,24,Capricorn
3886245,female,17,Taurus
4138710,female,36,Sagittarius
4036052,female,15,Gemini
3553195,female,27,Aries
4256343,male,26,Gemini
3612165,male,33,Virgo
3657741,female,23,Cancer
2723204,male,16,Pisces
3444315,male,23,Scorpio
3736241,female,15,Taurus
4067328,female,16,Aries
4254914,female,26,Scorpio
3456634,male,17,Aquarius
3681800,female,23,Sagittarius
4170140,male,15,Sagittarius
3826700,male,17,Scorpio
484022,male,24,Aquarius
4221129,female,26,Virgo
3983161,female,23,Leo
705850,female,27,Taurus
3570005,female,14,Aquarius
3906758,female,14,Scorpio
3727558,female,16,Aquarius
3811040,male,24,Sagittarius
4045402,female,15,Aries
1662996,female,17,Gemini
4160528,female,16,Leo
3862547,female,14,Libra
3840384,male,33,Libra
3474897,male,15,Leo
3761648,male,23,Taurus
1870076,male,42,Gemini
4049756,female,25,Gemini
3193616,male,23,Gemini
3475397,male,25,Leo
4249914,female,24,Scorpio
2681927,male,26,Pisces
4050173,male,25,Gemini
3173291,male,27,Aquarius
3662672,male,15,Sagittarius
2762982,female,16,Virgo
4149523,female,16,Cancer
3747578,female,14,Leo
3835017,female,17,Pisces
2565326,male,48,Aries
1731592,male,33,Gemini
3928549,female,25,Taurus
3956714,female,15,Gemini
756463,male,35,Scorpio
3738648,female,16,Pisces
3518184,male,13,Virgo
3761480,male,23,Leo
3311279,male,24,Leo
3535223,female,15,Aries
3585346,male,24,Aries
2987469,male,25,Pisces
3594722,female,16,Cancer
3358515,female,27,Cancer
3922171,female,34,Virgo
3205383,female,35,Cancer
4198156,female,25,Capricorn
3844787,male,14,Aries
1631607,female,26,Leo
3366182,female,38,Virgo
3675479,female,45,Taurus
3716366,female,25,Taurus
3969363,female,17,Scorpio
3908478,male,24,Capricorn
3601153,male,17,Aries
4261141,male,15,Sagittarius
4255694,male,17,Virgo
1019710,male,16,Pisces
3176834,male,25,Gemini
3355033,male,37,Gemini
3680137,female,26,Libra
3429167,female,27,Cancer
4132460,male,14,Libra
3682724,male,24,Pisces
1617789,female,38,Taurus
3670048,female,27,Leo
3337797,female,36,Scorpio
3672622,male,25,Pisces
3569376,female,13,Virgo
4336871,male,17,Libra
3480394,male,24,Aquarius
3416706,female,16,Scorpio
3369078,female,27,Gemini
3422500,male,16,Aquarius
3460671,male,27,Sagittarius
4069229,male,42,Taurus
1504395,female,27,Aries
3489849,female,15,Cancer
183164,female,27,Taurus
3471264,female,26,Gemini
2485343,male,17,Cancer
3528240,male,16,Leo
4107242,male,36,Taurus
3962861,male,44,Gemini
3359834,male,16,Virgo
3824824,female,16,Scorpio
3851137,male,14,Capricorn
1659469,male,24,Libra
3749264,male,24,Sagittarius
3690844,female,26,Scorpio
1643433,male,17,Cancer
1234631,female,17,Aquarius
4040198,female,24,Aquarius
3912398,female,35,Pisces
3834724,male,15,Taurus
3451693,male,17,Taurus
3544399,male,17,Capricorn
3773412,male,14,Cancer
3809683,male,15,Aries
4176133,female,14,Scorpio
3922848,male,17,Leo
3825001,male,15,Leo
3415462,female,16,Scorpio
108780,female,25,Leo
3415716,male,13,Scorpio
3699116,male,17,Aquarius
1078077,female,38,Aries
3343379,male,37,Libra
3287106,female,25,Aquarius
3673750,male,16,Libra
4197224,male,16,Aries
3614091,male,14,Aries
3566675,female,41,Aries
3304752,male,33,Pisces
3882651,female,26,Pisces
4204723,female,17,Scorpio
420039,male,23,Capricorn
3499721,male,17,Leo
3713413,female,39,Leo
3781537,female,17,Cancer
3304877,male,26,Aries
3664289,male,25,Aries
3383594,male,16,Aquarius
3006822,male,39,Cancer
3883671,male,14,Aquarius
3743249,female,16,Cancer
4173756,male,14,Libra
3290655,female,36,Cancer
3422849,male,15,Virgo
2240106,female,17,Aries
3710825,male,26,Aries
2574489,female,24,Aquarius
3893909,female,27,Leo
3497014,female,43,Cancer
4030767,male,33,Libra
3755807,female,14,Aquarius
2575852,female,27,Gemini
3682031,male,33,Taurus
4142029,female,17,Aries
3395107,male,16,Sagittarius
3901750,female,14,Sagittarius
4194452,female,46,Cancer
3513637,male,17,Cancer
1786720,male,24,Aries
3425704,female,34,Leo
3966916,male,17,Aquarius
2563853,male,15,Leo
2879658,female,23,Pisces
3451933,female,15,Cancer
3321042,female,24,Virgo
2394435,female,40,Aries
2913134,male,26,Aquarius
4163303,male,17,Virgo
3680471,male,14,Cancer
483062,female,24,Scorpio
3520953,male,16,Virgo
3846857,female,48,Libra
3592522,female,17,Aries
3900088,male,43,Gemini
3579245,female,15,Capricorn
3675953,female,17,Taurus
3589390,male,17,Scorpio
4088947,male,16,Capricorn
2971632,female,26,Leo
4175185,male,26,Scorpio
3805349,male,14,Virgo
2426419,female,23,Scorpio
3344835,male,15,Virgo
1786023,female,16,Libra
4178076,female,15,Sagittarius
299143,female,23,Cancer
3417158,female,14,Libra
3384905,male,23,Libra
3156913,female,47,Aquarius
3930247,female,24,Virgo
3542883,male,26,Aquarius
3473863,female,26,Capricorn
4043184,female,26,Aries
3978456,female,24,Taurus
4296936,female,26,Virgo
3043339,male,17,Virgo
1197937,female,23,Scorpio
3728442,male,25,Taurus
4054628,male,13,Sagittarius
3302151,male,34,Scorpio
3477041,male,17,Aquarius
546850,male,24,Aries
3423174,male,14,Gemini
2701518,male,25,Cancer
3525660,female,33,Sagittarius
3896589,female,13,Aries
3672270,female,14,Aquarius
3635310,female,27,Gemini
3732234,male,45,Sagittarius
3546053,male,35,Gemini
3795332,male,14,Libra
4244617,female,15,Capricorn
61176,male,33,Capricorn
3869427,female,23,Libra
3566051,male,14,Virgo
3674934,female,24,Capricorn
2764903,male,33,Pisces
3921257,female,34,Capricorn
4286664,female,16,Aquarius
3901371,female,13,Scorpio
3613693,male,24,Aries
2477552,female,23,Pisces
3423295,female,24,Scorpio
4046435,female,36,Aquarius
1939766,female,23,Aquarius
3930625,male,14,Taurus
4271044,male,23,Gemini
3815853,male,27,Gemini
3421287,female,37,Gemini
3868849,female,16,Cancer
3970428,male,17,Scorpio
4169442,male,25,Leo
2095129,female,26,Gemini
3943086,male,14,Virgo
4229520,male,16,Scorpio
4307873,male,24,Capricorn
3673679,male,23,Aries
3609476,female,23,Sagittarius
3676589,female,34,Leo
2218258,female,24,Taurus
3494268,female,16,Sagittarius
1261679,female,16,Gemini
3347606,female,26,Cancer
4143520,male,16,Aquarius
3107053,female,17,Libra
4127021,female,27,Sagittarius
3584627,female,17,Scorpio
4022569,male,15,Virgo
2191528,female,14,Cancer
2864451,male,26,Taurus
2968005,male,17,Aquarius
3940634,male,15,Sagittarius
3835411,female,27,Virgo
3516279,male,16,Leo
3638231,male,16,Sagittarius
3973262,female,23,Capricorn
3827800,female,14,Scorpio
4001419,male,25,Taurus
2974921,female,13,Capricorn
4197792,male,27,Capricorn
3330576,male,23,Virgo
4037145,male,15,Virgo
3719060,female,23,Aries
4030764,male,23,Aries
4207331,male,17,Capricorn
4018365,male,16,Capricorn
4301895,female,15,Leo
3614885,female,15,Aries
3769478,male,24,Virgo
4188614,female,13,Scorpio
3391192,male,13,Virgo
3627359,female,40,Virgo
4231038,female,15,Gemini
4115999,female,15,Aries
3082812,female,24,Taurus
3625309,male,23,Sagittarius
4146221,female,24,Gemini
3505022,female,14,Virgo
3546815,female,35,Aries
3612927,female,23,Libra
3919521,male,23,Virgo
3931750,female,15,Taurus
1626309,male,14,Virgo
3986854,male,24,Virgo
4123408,female,16,Pisces
2841165,male,17,Pisces
3650070,female,24,Aquarius
3681130,male,26,Aries
3619348,female,17,Pisces
4155194,female,15,Taurus
3999304,female,17,Aries
4312209,female,16,Virgo
3227750,male,23,Scorpio
3453903,female,16,Aries
3211137,male,16,Sagittarius
3723050,male,24,Cancer
3431258,male,17,Aquarius
3995570,female,17,Pisces
4269539,female,16,Taurus
1748233,female,15,Pisces
4156268,female,14,Taurus
3452141,female,14,Libra
1103016,male,16,Gemini
3920235,female,24,Leo
3446428,male,25,Capricorn
4174067,female,15,Scorpio
3454291,female,15,Aquarius
3792953,female,23,Sagittarius
4325476,female,24,Pisces
3849830,male,13,Cancer
3591822,female,16,Cancer
3568314,female,40,Virgo
3721560,female,13,Libra
4202762,female,25,Scorpio
3829276,male,17,Capricorn
3902314,male,15,Libra
4035457,female,27,Virgo
3471727,female,24,Virgo
3737788,female,24,Pisces
3619413,male,43,Scorpio
3877939,male,16,Capricorn
597870,female,33,Taurus
3011326,male,23,Taurus
3464884,female,17,Scorpio
3716687,female,15,Cancer
4251802,female,16,Aries
3918280,female,17,Gemini
3562062,female,15,Taurus
3537594,male,23,Capricorn
4221839,male,15,Scorpio
3232717,female,48,Aquarius
1526405,female,26,Leo
3794174,female,24,Leo
3920387,male,25,Aquarius
2967696,female,27,Aries
3346836,male,24,Libra
3423963,male,37,Virgo
3475024,male,23,Scorpio
3443396,female,16,Gemini
1763114,male,25,Aries
3866560,male,17,Pisces
3765920,male,27,Virgo
2781029,female,27,Leo
1400705,male,26,Capricorn
4323147,male,15,Capricorn
4205388,female,36,Cancer
3319866,female,37,Capricorn
3998820,male,17,Gemini
2318155,female,15,Aries
3601657,female,17,Capricorn
3310475,male,16,Gemini
3976212,male,16,Sagittarius
3612919,male,17,Pisces
1557658,male,37,Cancer
211333,male,26,Scorpio
3951537,female,16,Virgo
3619485,female,15,Taurus
3669626,female,24,Leo
3630096,female,14,Pisces
3455516,male,16,Taurus
3705817,male,23,Gemini
3597755,male,16,Virgo
3792732,female,26,Leo
3989121,male,25,Virgo
3458177,female,24,Aries
3484266,female,14,Aquarius
3747324,male,17,Scorpio
4217828,female,37,Libra
3033260,male,17,Leo
3699086,male,16,Pisces
3354239,female,16,Gemini
3687738,male,47,Aries
2099832,male,27,Sagittarius
4271313,male,36,Virgo
408720,female,23,Cancer
3739577,male,27,Sagittarius
3488072,female,17,Leo
3871358,male,16,Pisces
4252371,male,38,Libra
3572625,female,14,Gemini
2079968,female,17,Sagittarius
4261992,female,15,Gemini
3729466,female,27,Scorpio
795131,female,39,Scorpio
3337691,female,13,Sagittarius
4111025,male,16,Scorpio
3592598,female,33,Taurus
4027829,female,15,Aries
4153152,male,16,Aquarius
3603744,female,24,Cancer
4229558,female,26,Cancer
4284753,female,23,Aquarius
3581446,female,17,Pisces
3808793,female,13,Taurus
3621989,male,15,Capricorn
2161822,male,15,Leo
3648116,female,41,Taurus
3886407,male,17,Gemini
3663487,female,16,Scorpio
4112510,female,17,Aries
3365328,male,16,Cancer
2050704,male,16,Libra
3925557,female,16,Aquarius
4064834,male,37,Leo
1174200,male,17,Libra
3549246,female,15,Aquarius
4141669,male,47,Cancer
2879347,female,46,Pisces
3960557,female,27,Aries
1538911,female,35,Libra
3984529,male,39,Taurus
2173808,male,41,Gemini
3509956,female,27,Aries
3319669,male,25,Pisces
3622069,female,23,Aries
4022797,male,15,Sagittarius
3442766,male,26,Aquarius
3965275,female,15,Capricorn
2996938,male,17,Gemini
3372401,male,25,Cancer
1543875,female,25,Cancer
2708832,male,25,Leo
3147719,female,17,Virgo
232317,female,25,Virgo
3396931,male,27,Gemini
3430821,female,16,Virgo
4176811,female,34,Taurus
4214862,female,33,Scorpio
3678607,female,16,Scorpio
4210947,female,23,Gemini
3514529,male,33,Aries
3917585,female,25,Gemini
3989287,female,38,Libra
3709033,female,17,Sagittarius
2392914,male,24,Scorpio
3884802,male,27,Cancer
4331261,male,23,Libra
3828156,female,26,Cancer
3944812,male,14,Cancer
3364588,male,15,Pisces
4051770,male,24,Sagittarius
4275361,male,25,Libra
3288213,male,17,Taurus
3594699,female,24,Scorpio
3660907,male,24,Scorpio
3764687,female,14,Aries
3306927,male,45,Leo
3744111,female,15,Scorpio
3416481,female,17,Capricorn
4215286,male,15,Libra
3825935,male,15,Virgo
3322392,female,15,Pisces
1741895,female,26,Leo
3519292,male,14,Scorpio
3697365,male,16,Aquarius
1455561,male,17,Scorpio
3767498,male,26,Aries
2911052,male,15,Capricorn
3681506,female,25,Sagittarius
4111895,male,39,Capricorn
3940854,male,17,Cancer
3661330,male,25,Leo
3633240,female,16,Aries
4314201,male,17,Aries
3886575,male,16,Gemini
4204123,female,16,Scorpio
3753446,female,23,Capricorn
3415674,male,16,Leo
3660226,male,26,Aquarius
3453685,male,43,Virgo
3630552,male,26,Aquarius
3426176,male,17,Aries
3803609,female,13,Taurus
1512689,female,23,Pisces
3417999,male,33,Virgo
3414893,male,24,Capricorn
4168806,female,16,Aquarius
3882397,male,34,Leo
1937270,male,36,Virgo
3833476,female,16,Leo
3917985,male,24,Aries
4076603,male,36,Capricorn
3919557,male,16,Taurus
3312302,male,33,Scorpio
3677506,male,25,Libra
1068622,male,24,Aquarius
2781841,female,23,Pisces
3738860,female,26,Aquarius
1640282,male,26,Leo
2094786,female,43,Aquarius
2465446,male,16,Scorpio
4056016,male,13,Sagittarius
2403098,male,23,Libra
3977981,female,27,Capricorn
4285277,male,34,Leo
3434499,female,24,Aries
4106351,female,14,Taurus
3504220,male,15,Aries
4010370,male,15,Capricorn
3477153,female,15,Virgo
750267,male,35,Cancer
4181150,male,26,Virgo
3169212,female,15,Cancer
4172563,female,23,Virgo
3923707,female,15,Leo
4074421,male,26,Aquarius
3444022,male,41,Scorpio
4283836,female,15,Virgo
3842113,male,25,Sagittarius
4100092,male,45,Cancer
3431501,male,15,Sagittarius
3464571,female,17,Gemini
3350864,male,17,Aquarius
3865970,female,15,Aquarius
3992007,female,25,Gemini
3824275,female,27,Sagittarius
3332491,male,17,Libra
4310425,female,27,Aries
3088825,male,17,Sagittarius
4072036,male,13,Libra
3384829,male,16,Gemini
1742935,male,26,Libra
3559492,male,16,Virgo
3699552,male,17,Scorpio
4013023,male,23,Aquarius
2711915,male,25,Taurus
3653908,male,17,Taurus
3973241,female,48,Capricorn
3658543,female,44,Virgo
3367660,male,27,Virgo
3438977,female,38,Capricorn
4137869,female,23,Gemini
3520778,female,16,Taurus
3408355,female,16,Aquarius
4318616,male,15,Leo
3864997,male,14,Virgo
3671589,female,26,Taurus
3607979,male,17,Libra
3399172,male,25,Pisces
3392560,female,26,Cancer
3996220,female,26,Gemini
427989,male,23,Sagittarius
3962874,female,16,Sagittarius
3564541,male,16,Gemini
3998840,female,14,Virgo
4060663,female,27,Sagittarius
4193275,male,15,Pisces
3577526,male,24,Leo
3603668,female,15,Scorpio
3790180,male,26,Leo
2585594,female,25,Sagittarius
3304451,female,16,Sagittarius
3047266,male,23,Sagittarius
4211626,female,14,Libra
3539319,male,14,Sagittarius
3931865,female,23,Aries
3571736,male,42,Scorpio
3660006,female,16,Capricorn
3850669,male,17,Capricorn
3996405,male,26,Sagittarius
3445546,female,24,Sagittarius
3894425,male,25,Aries
3867505,male,14,Virgo
4213554,female,23,Aquarius
3236721,male,15,Pisces
4190982,male,17,Sagittarius
3292250,male,17,Capricorn
192731,male,24,Leo
4123334,male,24,Sagittarius
3347922,female,23,Virgo
3720376,female,23,Pisces
1803787,male,23,Sagittarius
2597626,female,26,Aries
4165168,male,17,Libra
4003245,female,16,Sagittarius
3421231,male,25,Capricorn
3791582,female,14,Sagittarius
4240625,male,14,Pisces
3670070,female,17,Sagittarius
4055315,male,15,Virgo
3906484,female,27,Leo
3844638,male,25,Virgo
152151,female,23,Libra
4027929,male,17,Gemini
1717917,female,23,Pisces
3931171,female,13,Virgo
2816410,male,16,Gemini
3084647,male,15,Pisces
3749326,female,24,Aquarius
3152763,female,15,Aquarius
3655935,male,24,Capricorn
3374978,female,14,Leo
3550120,female,38,Leo
1329752,male,24,Taurus
473812,female,24,Cancer
917929,male,24,Aquarius
4286756,male,36,Virgo
3560479,male,26,Aquarius
3339568,female,14,Aquarius
3703832,male,35,Scorpio
2702548,female,15,Scorpio
3636103,male,26,Aquarius
3537678,female,25,Pisces
3872353,female,36,Taurus
